household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band
NYA-00001,-1.972238,30.066378,Nyarugenge,Kimisagara,2,2.4,piped,3,low
NYA-00002,-2.002251,30.079007,Nyarugenge,Kimisagara,1,2.3,public_tap,2,lower_middle
NYA-00003,-1.89881,30.067885,Nyarugenge,Mageragere,0,2.4,public_tap,2,low
NYA-00004,-1.970431,30.056765,Nyarugenge,Nyamirambo,1,2.1,piped,3,lower_middle
NYA-00005,-1.945627,30.077635,Nyarugenge,Nyamirambo,0,2.2,piped,2,upper
NYA-00006,-1.976934,30.042388,Nyarugenge,Nyamirambo,0,2.9,piped,3,middle
NYA-00007,-1.954143,30.04753,Nyarugenge,Kimisagara,1,2.6,protected_well,3,low
NYA-00008,-1.933304,30.065931,Nyarugenge,Kimisagara,3,3.3,piped,3,lower_middle
NYA-00009,-1.957973,30.058783,Nyarugenge,Muhima,1,3.1,piped,3,low
NYA-00010,-1.965785,30.074874,Nyarugenge,Kimisagara,4,2.9,piped,2,low
NYA-00011,-1.922563,30.063511,Nyarugenge,Kimisagara,1,3.2,piped,2,upper
NYA-00012,-2.003104,30.06691,Nyarugenge,Kimisagara,4,2.7,piped,2,lower_middle
NYA-00013,-1.950371,30.02653,Nyarugenge,Nyamirambo,2,2.4,piped,1,lower_middle
NYA-00014,-1.978735,30.038925,Nyarugenge,Nyamirambo,2,1.8,surface_water,1,lower_middle
NYA-00015,-1.921896,30.087847,Nyarugenge,Kimisagara,1,3.4,piped,3,middle
NYA-00016,-1.937018,30.035543,Nyarugenge,Nyamirambo,4,2.5,public_tap,2,low
NYA-00017,-1.967837,30.087806,Nyarugenge,Muhima,2,2.0,surface_water,2,lower_middle
NYA-00018,-2.022002,30.119536,Nyarugenge,Nyamirambo,3,2.4,surface_water,3,low
NYA-00019,-1.945474,30.076948,Nyarugenge,Muhima,0,2.7,piped,3,low
NYA-00020,-1.93531,30.04091,Nyarugenge,Mageragere,2,2.8,piped,3,lower_middle
NYA-00021,-1.977397,30.044564,Nyarugenge,Kimisagara,3,3.2,surface_water,2,lower_middle
NYA-00022,-1.978128,30.059309,Nyarugenge,Nyamirambo,2,2.6,piped,1,middle
NYA-00023,-1.972623,30.098852,Nyarugenge,Muhima,1,2.5,surface_water,1,low
NYA-00024,-1.945381,30.043821,Nyarugenge,Mageragere,3,3.0,piped,3,upper
NYA-00025,-1.931898,30.047922,Nyarugenge,Mageragere,2,3.3,protected_well,3,middle
NYA-00026,-1.945354,30.063524,Nyarugenge,Nyamirambo,2,2.6,piped,1,lower_middle
NYA-00027,-1.958291,30.061604,Nyarugenge,Nyamirambo,0,3.4,protected_well,2,low
NYA-00028,-1.902219,30.096868,Nyarugenge,Mageragere,2,3.1,public_tap,3,middle
NYA-00029,-1.965436,30.093226,Nyarugenge,Kimisagara,2,3.1,piped,2,low
NYA-00030,-1.931135,30.142568,Nyarugenge,Kimisagara,1,2.0,protected_well,1,lower_middle
NYA-00031,-1.975899,30.057898,Nyarugenge,Muhima,2,2.6,piped,3,lower_middle
NYA-00032,-1.9419,30.078195,Nyarugenge,Kimisagara,0,2.9,piped,3,low
NYA-00033,-1.962303,30.102226,Nyarugenge,Mageragere,4,2.4,protected_well,2,middle
NYA-00034,-1.962445,30.05289,Nyarugenge,Mageragere,2,2.4,public_tap,3,middle
NYA-00035,-1.985753,30.035589,Nyarugenge,Mageragere,3,3.3,piped,3,middle
NYA-00036,-1.949757,30.078619,Nyarugenge,Kimisagara,1,2.5,piped,3,upper
NYA-00037,-1.854384,30.113261,Nyarugenge,Muhima,2,2.5,public_tap,1,lower_middle
NYA-00038,-1.963983,30.059824,Nyarugenge,Kimisagara,1,2.9,piped,3,middle
NYA-00039,-1.958666,30.064076,Nyarugenge,Muhima,0,3.2,public_tap,1,upper
NYA-00040,-1.983211,30.128006,Nyarugenge,Kimisagara,1,2.0,surface_water,2,low
NYA-00041,-1.924577,30.075417,Nyarugenge,Mageragere,1,2.5,surface_water,2,middle
NYA-00042,-1.948607,30.07967,Nyarugenge,Mageragere,4,3.5,piped,3,upper
NYA-00043,-1.925992,30.096322,Nyarugenge,Nyamirambo,4,2.6,piped,2,upper
NYA-00044,-1.953154,30.032899,Nyarugenge,Kimisagara,4,1.8,public_tap,1,lower_middle
NYA-00045,-1.935161,30.089533,Nyarugenge,Kimisagara,0,2.6,protected_well,3,lower_middle
NYA-00046,-1.935226,30.005133,Nyarugenge,Nyamirambo,3,1.0,surface_water,3,low
NYA-00047,-1.944812,30.066047,Nyarugenge,Mageragere,3,2.5,surface_water,3,upper
NYA-00048,-2.01843,30.086775,Nyarugenge,Kimisagara,0,2.3,protected_well,2,lower_middle
NYA-00049,-1.946601,30.083065,Nyarugenge,Nyamirambo,0,3.3,protected_well,2,middle
